species	Name	Formula	Mass	N_atoms	Charge	Detected	pwd_xyz	In_Network	Spin	Energy	ZPE
HC10N		H1C10N1	135.125	12	0	False	./species/HC10N_3Sigma.xyz	False	3	-435.29276814	0.058693
C10N2		C10N2	148.124	12	0	False	./species/C10N2_1Sigma.xyz	False	1	-489.42620589	0.058093
C5H8	1,3-pentadiene	H8C5	68.11622	13	0	False	./species/C5H8_1Ap.xyz	True	1	-194.95212054	0.114021
C6H7+		H7C6+	79.11908000000003	13	1	False	./species/C6H7+_1.xyz	True	1	-232.03285421	0.106726
C7H6	1,5-heptadiyne-3-ene	H6C7	90.12194	13	0	False	./species/C7H6_1A.xyz	True	1	-269.71453857	0.100106
C8H5+		H5C8+	101.1248	13	1	False	./species/C8H5+_1.xyz	True	1	-306.79831636	0.091614
C9H4+		H4C9+	112.12766	13	1	False	./species/C9H4+_2.xyz	True	2	-344.78489495900004	0.084293
C8H4N+		H4C8N1+	114.12366000000002	13	1	False	./species/C8H4N+_1.xyz	True	1	-360.88645326	0.086932
C10H3+		H3C10+	123.13052	13	1	False	./species/C10H3+_1.xyz	True	1	-381.56658332	0.078106
C9H3N+		H3C9N1+	125.12652	13	1	False	pwd	True	0		
H2C10N+		H2C10N1+	136.12938	13	1	False	./species/H2C10N+_1.xyz	True	1	-435.63965607	0.072953
C9H5+		H5C9+	113.1355	14	1	False	./species/C9H5+_1.xyz	True	1	-344.80982945	0.096085
C7H8	hepta-1,3-diyne,1,5-heptadiyne	H8C7	92.13762	15	0	False	./species/C7H8_1A.xyz	True	1	-270.94182649	0.124525
C6H10	1,3-hexadiene	H10C6	82.1426	16	0	False	./species/C6H10_1A.xyz	True	1	-234.19457515	0.142919
